id,title,url,status,bedrooms,floor_area,land_area,floors_count,guest_number,max_guest_number,sleep_arrange,stays_min,stays_max,min_price,extra_price,cancellation_policy,is_plus,is_instant,is_clean,is_new,features_count,success_books,rating,reviews,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,is_recently,is_bad_host,current_discount_percent,current_discount,pictures_count,vr_photo,video_url,host_id,host_name,host_gender,host_created_at,host_accept_rate,host_response_time,host_communication_rate,occupancy_30,occupancy_30_unavailable,occupancy_30_total,pool,jacuzzi,own,village,village_slug,features,properties,geo_lat,geo_lng,discounts
3198234,اجاره کلبه سوئدی نزدیک لفور - سیدکلا - ۲,https://www.jajiga.com/room/3198234,active,1,80,4000,0,2,4,"[{'space_id': 1, 'single': 0, 'double': 1, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}, {'space_id': 0, 'single': 0, 'double': 0, 'mattress': 2, 'sofa_bed': 0, 'etc': ''}]",1,,1680000,900000,hard,False,False,False,False,19,10,4.2,13,4.5,4.1,4.1,4.5,4.5,3.8,False,False,0,,28,,,1618958,محمدرضا,male,2023-05-20,54,401,4.4,0,0,30,0,0,False,سیدکلا,seydkola,barbecue|bathroom|cooler|electricity|essentials|fireextingu|firstaidkit|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|water,جذاب|اقامتگاه خاص,36.3094,52.7921,"[{""percent"": 20, ""type"": ""duration"", ""min_nights"": 5}, {""percent"": 40, ""type"": ""duration"", ""min_nights"": 15}]"
3227770,خانه روستایی در بابلکنار - سیدکلا,https://www.jajiga.com/room/3227770,active,1,120,300,0,4,6,"[{'space_id': 1, 'single': 0, 'double': 1, 'mattress': 4, 'sofa_bed': 0, 'etc': ''}, {'space_id': 0, 'single': 0, 'double': 0, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}]",1,,1800000,300000,middle,True,True,False,False,18,20,4.9,17,5,5,5,4.9,5,4.8,True,False,10,"{'percent': 10, 'type': 'period'}",31,,,2078258,محمد,male,2024-05-04,100,70,5,37,11,30,0,0,False,سیدکلا,seydkola,barbecue|bathroom|cooler|electricity|essentials|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,حیاط دار|مهمان نواز,36.3174,52.7813,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 20, ""type"": ""duration"", ""min_nights"": 7}]"
3262853,خانه مبله در بابلکنار - سیدکلا - طبقه دوم,https://www.jajiga.com/room/3262853,active,2,90,700,0,4,10,"[{'space_id': 1, 'single': 0, 'double': 1, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}, {'space_id': 2, 'single': 0, 'double': 1, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}, {'space_id': 0, 'single': 0, 'double': 0, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}]",1,7,1800000,400000,middle,True,False,False,False,16,50,4.7,32,4.7,4.7,4.7,4.3,4.9,4.7,True,False,30,"{'percent': 30, 'type': 'today_discount'}",20,,,1807361,فائزه,female,2023-07-16,100,259,4.7,0,0,30,0,0,False,سیدکلا,seydkola,barbecue|bathroom|cooler|electricity|essentials|food|furniture|heating|islamictoilet|kitchen|parking|refrigerator|stave|table|tv|water,,36.3068,52.7911,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 7}, {""percent"": 30, ""type"": ""today_discount""}, {""percent"": 10, ""type"": ""tomorrow_discount""}]"
3179336,کلبه سوئیسی با وان جکوزی در بابلکنار- سیدکلا,https://www.jajiga.com/room/3179336,active,1,68,200,0,4,5,"[{'space_id': 1, 'single': 0, 'double': 1, 'mattress': 2, 'sofa_bed': 0, 'etc': ''}, {'space_id': 0, 'single': 0, 'double': 0, 'mattress': 3, 'sofa_bed': 0, 'etc': ''}]",1,,1900000,400000,hard,True,True,False,False,19,300,4.8,175,4.9,4.9,4.5,4.7,5,4.9,True,False,0,,33,,,1618422,حسن,male,2022-12-05,96,47,4.9,50,15,30,0,1,False,سیدکلا,seydkola,barbecue|bathroom|cooler|electricity|essentials|fireextingu|foosball|furniture|heating|islamictoilet|jacuzzi|kitchen|parking|refrigerator|stave|toilet|tv|vacuumcleaner|water,جذاب|مهمان نواز,36.3152,52.7904,"[{""percent"": 5, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 30, ""type"": ""duration"", ""min_nights"": 10}]"
3181918,کلبه سوئیسی جکوزی دار نزدیک لفور - سیدکلا,https://www.jajiga.com/room/3181918,active,1,78,240,0,4,7,"[{'space_id': 1, 'single': 0, 'double': 1, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}, {'space_id': 0, 'single': 0, 'double': 0, 'mattress': 2, 'sofa_bed': 0, 'etc': ''}]",1,,1900000,350000,hard,True,True,False,False,20,500,4.5,281,4.5,4.6,3.9,4.8,4.9,4.4,True,False,0,,31,,,1643170,عیسی,male,2023-01-19,92,155,4.6,67,20,30,0,1,False,سیدکلا,seydkola,barbecue|bathroom|cooler|electricity|essentials|fireextingu|furniture|heating|islamictoilet|jacuzzi|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,خوش منظره|جذاب,36.3138,52.7896,"[{""percent"": 5, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3240445,کلبه سوئیسی با وان جکوزی در بابلکنار - سیدکلا,https://www.jajiga.com/room/3240445,active,1,100,300,0,3,5,"[{'space_id': 1, 'single': 0, 'double': 1, 'mattress': 2, 'sofa_bed': 0, 'etc': ''}, {'space_id': 0, 'single': 0, 'double': 0, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}]",1,,1980000,200000,hard,True,True,False,False,22,50,4.7,32,4.9,4.8,4.6,4.7,4.9,4.7,True,False,0,,31,,,1725165,امیر,male,2024-08-26,96,55,4.8,53,16,30,0,1,False,سیدکلا,seydkola,barbecue|bathroom|cooler|electricity|essentials|fireextingu|firstaidkit|foosball|furniture|heating|islamictoilet|jacuzzi|janitor|kitchen|parking|refrigerator|safetycard|stave|toilet|tv|vacuumcleaner|water,حیاط دار|مهمان نواز,36.3163,52.791,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3206573,کلبه چوبی دوبلکس نزدیک لفور - سیدکلا,https://www.jajiga.com/room/3206573,active,2,60,1500,0,3,6,"[{'space_id': 1, 'single': 0, 'double': 1, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}, {'space_id': 2, 'single': 0, 'double': 1, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}, {'space_id': 0, 'single': 0, 'double': 0, 'mattress': 2, 'sofa_bed': 0, 'etc': ''}]",1,,2000000,400000,hard,True,False,False,False,18,200,4.7,118,4.8,4.9,4.3,4.8,4.9,4.6,True,False,10,"{'percent': 10, 'type': 'today_discount'}",37,,,1449641,ابوالفضل,male,2022-06-12,95,221,4.9,10,3,30,0,0,False,سیدکلا,seydkola,barbecue|bathroom|cooler|electricity|essentials|fireextingu|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|toilet|tv|vacuumcleaner|water,خوش منظره|جذاب|مهمان نواز,36.3107,52.7954,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}, {""percent"": 10, ""type"": ""today_discount""}]"
3237859,کلبه سوئیسی در بابلکنار - سیدکلا,https://www.jajiga.com/room/3237859,active,2,80,300,0,4,8,"[{'space_id': 1, 'single': 0, 'double': 1, 'mattress': 1, 'sofa_bed': 0, 'etc': ''}, {'space_id': 2, 'single': 0, 'double': 1, 'mattress': 1, 'sofa_bed': 0, 'etc': ''}, {'space_id': 0, 'single': 0, 'double': 0, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}]",1,,2000000,500000,hard,False,False,False,False,18,10,3.9,12,4.4,4.4,2.8,3.8,5,3.2,True,True,0,,34,,,2176828,حبیب,male,2024-07-14,74,214,4.4,23,7,30,0,0,False,سیدکلا,seydkola,bathroom|cooler|drawer|electricity|essentials|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,لب آب|جذاب,36.3154,52.7969,"[{""percent"": 5, ""type"": ""duration"", ""min_nights"": 5}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3149749,سوئیت در سیدکلا بابلکنار - همکف,https://www.jajiga.com/room/3149749,active,0,40,6000,0,4,4,"[{'space_id': 0, 'single': 0, 'double': 2, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}]",1,,2000000,0,middle,True,True,True,False,18,20,4.6,20,4.9,4.6,4.3,4.6,5,4.5,True,False,0,,24,,https://www.aparat.com/v/MgWZP,1197838,میراحسان,male,2019-12-09,98,94,4.5,0,0,30,0,0,False,سیدکلا,seydkola,barbecue|bathroom|cooler|electricity|essentials|fireextingu|firstaidkit|food|heating|islamictoilet|janitor|kitchen|parking|refrigerator|table|toilet|tv|water,خوش غذا|جذاب|خوش منظره,36.3134,52.7827,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 20, ""type"": ""duration"", ""min_nights"": 20}]"
3230216,ویلا دوبلکس با جکوزی در بابلکنار - سیدکلا,https://www.jajiga.com/room/3230216,active,2,45,200,0,4,8,"[{'space_id': 1, 'single': 0, 'double': 1, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}, {'space_id': 2, 'single': 0, 'double': 1, 'mattress': 4, 'sofa_bed': 0, 'etc': ''}, {'space_id': 0, 'single': 0, 'double': 2, 'mattress': 0, 'sofa_bed': 0, 'etc': ''}]",1,,2000000,500000,middle,False,False,False,False,18,0,3.3,2,4,4,2,2,5,2.5,False,False,0,,30,,,2096023,حسین,male,2024-05-04,15,122,4,0,0,30,0,1,False,سیدکلا,seydkola,barbecue|bathroom|cooler|electricity|essentials|furniture|heating|islamictoilet|jacuzzi|janitor|kitchen|parking|refrigerator|stave|table|tv|vacuumcleaner|water,,36.3106,52.8037,"[{""percent"": 5, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
